candidate,stage,aortic_R_scale,aortic_L_scale,aortic_C_scale,endpoint_compliance_scale,terminal_arterial_compliance_scale,lower_proximal_fraction,systemic_resistance_scale,open_loop_mass_balance_rel,open_loop_pressure_pass,open_loop_flow_pass,aao_to_dao_drop_mmhg,open_loop_dao_chain_nrmse,open_loop_lower_dao_nrmse,closed_loop_co_l_min,closed_loop_svc_flow_ml_s,closed_loop_q_aao_nrmse,full0d_q_aao_nrmse,closed_loop_q_dao_clinical_nrmse,full0d_q_dao_clinical_nrmse,closed_loop_q_dao_chain_health_nrmse,full0d_q_dao_chain_health_nrmse,pass_closed_loop_stability,pass_q_aao_not_worse,pass_q_dao_clinical_not_worse,pass_q_dao_chain_not_worse,accepted,notes
ep0.02_art1,open_loop,7,1,1,0.02,1,,,0.0004062783317269135,False,True,0.6227917215902536,0.22438605601445172,0.23540914401264232,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.02_art0.5,open_loop,7,1,1,0.02,0.5,,,0.0005446477880952378,True,True,0.6215609660860508,0.22735749393955043,0.23871043255921984,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.02_art0.25,open_loop,7,1,1,0.02,0.25,,,0.0005417150317886587,True,True,0.6209833134744258,0.22637295138060867,0.23854789752282876,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.02_art0.1,open_loop,7,1,1,0.02,0.1,,,0.0005000952181217839,True,True,0.6209326220689633,0.22835725396735237,0.24217131194576783,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.05_art1,open_loop,7,1,1,0.05,1,,,0.0005364865667585406,False,True,0.6227876524359814,0.2164051893462635,0.24111471728316747,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.05_art0.5,open_loop,7,1,1,0.05,0.5,,,0.0007216162789735168,False,True,0.6215497487379835,0.21869732585450075,0.24397898241455107,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.05_art0.25,open_loop,7,1,1,0.05,0.25,,,0.0007228985884131656,True,True,0.6209541429397092,0.2166189577281686,0.24349260325638414,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.05_art0.1,open_loop,7,1,1,0.05,0.1,,,0.0006705812869108907,True,True,0.6208868798487757,0.21645954396688283,0.24656833915106036,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.08_art1,open_loop,7,1,1,0.08,1,,,0.0006669485920565747,False,True,0.6227651773475245,0.2084625877250675,0.24682602251262487,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.08_art0.5,open_loop,7,1,1,0.08,0.5,,,0.0008999026080093779,False,True,0.6215204817774804,0.2101934073495929,0.24924325628939725,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.08_art0.25,open_loop,7,1,1,0.08,0.25,,,0.0009077767659397025,False,True,0.6209077602152178,0.20720984582825286,0.24841930368651916,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.08_art0.1,open_loop,7,1,1,0.08,0.1,,,0.0008462524861521209,True,True,0.6208260123926479,0.20528981561879953,0.25094856337183274,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.1_art1,open_loop,7,1,1,0.1,1,,,0.0007540587433789749,False,True,0.622763255747671,0.20342182053410165,0.25058142742557377,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.1_art0.5,open_loop,7,1,1,0.1,0.5,,,0.0010194323550893967,False,True,0.6215147540264709,0.20484057082951596,0.25270271247504567,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.1_art0.25,open_loop,7,1,1,0.1,0.25,,,0.0010329802170351708,False,True,0.6208920013794952,0.2013636793527141,0.25165225128637875,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.1_art0.1,open_loop,7,1,1,0.1,0.1,,,0.000966201698106567,True,True,0.6208032266498762,0.19851845511234345,0.2538229655107623,,,,,,,,,,,,,False,pass_open_loop_aortic_diagnostic
ep0.15_art1,open_loop,7,1,1,0.15,1,,,0.000972285827930149,False,True,0.6227586869019177,0.19261976011771575,0.25934438569299184,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.15_art0.5,open_loop,7,1,1,0.15,0.5,,,0.0013203627159093668,False,True,0.6214944763734849,0.19341031143339235,0.2607452264158792,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.15_art0.25,open_loop,7,1,1,0.15,0.25,,,0.0013523645923562307,False,True,0.620834088630609,0.18899497715822572,0.2591160259499526,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.15_art0.1,open_loop,7,1,1,0.15,0.1,,,0.0012757271573765757,False,True,0.6206838431434107,0.18442479170149043,0.2603406358055536,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.2_art1,open_loop,7,1,1,0.2,1,,,0.0011911236621173235,False,True,0.6226365402676848,0.18368121978762006,0.2667105019838715,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.2_art0.5,open_loop,7,1,1,0.2,0.5,,,0.0016239099168621272,False,True,0.6213656531850518,0.18398554656117957,0.2674620113500717,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.2_art0.25,open_loop,7,1,1,0.2,0.25,,,0.0016800729518534894,False,True,0.6206858692848982,0.17889761675314797,0.26529706148392485,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep0.2_art0.1,open_loop,7,1,1,0.2,0.1,,,0.0015984543429802113,False,True,0.6205245452699586,0.17303878851758903,0.2656325649767308,,,,,,,,,,,,,False,fail_open_loop_aortic_diagnostic
ep02_r7_art025,closed_loop,7,1,1,0.02,0.25,,,,,,,,,2.284597865300765,18.755715760647846,0.5502016788622219,0.5717890388728804,0.4071296068779581,0.3311407122964161,0.41499323729308923,0.433747643475799,True,True,False,True,False,
ep05_r7_art025,closed_loop,7,1,1,0.05,0.25,,,,,,,,,2.2918405098020322,18.815173667700876,0.551674467980692,0.5717890388728804,0.4041901269094372,0.3311407122964161,0.42238937231881113,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac065,closed_loop,7,1,1,0.05,0.5,0.65,,,,,,,,2.3425381383945143,19.22690510281373,0.5523295349813603,0.5717890388728804,0.3560571093258442,0.3311407122964161,0.37699635729959424,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_sys11,closed_loop,7,1,1,0.05,0.5,,1.1,,,,,,,2.205690072318874,18.106764846099644,0.533795006352732,0.5717890388728804,0.3939007047219848,0.3311407122964161,0.40963668358504085,0.433747643475799,True,True,False,True,False,
ep05_r7_art01,closed_loop,7,1,1,0.05,0.1,,,,,,,,,2.271320647813043,18.65559036652197,0.5572829081976022,0.5717890388728804,0.3991932532680432,0.3311407122964161,0.4225749548406904,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac70,closed_loop,7.0,1,1,0.05,0.5,0.7,,,,,,,,2.3462057645744583,19.256564597253636,0.5525585817389851,0.5717890388728804,0.35502061642429994,0.3311407122964161,0.3762945211628686,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac75,closed_loop,7.0,1,1,0.05,0.5,0.75,,,,,,,,2.3497856454204085,19.2855123799742,0.5527582496524249,0.5717890388728804,0.3541550160129591,0.3311407122964161,0.3757356564257774,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac80,closed_loop,7.0,1,1,0.05,0.5,0.8,,,,,,,,2.3532863015810186,19.313811575773624,0.5529277994390478,0.5717890388728804,0.3534145165940305,0.3311407122964161,0.37527686907376284,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac85,closed_loop,7.0,1,1,0.05,0.5,0.85,,,,,,,,2.3566939731322085,19.341328724055547,0.5530747648007963,0.5717890388728804,0.3527562748452085,0.3311407122964161,0.374878968767277,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac90,closed_loop,7.0,1,1,0.05,0.5,0.9,,,,,,,,2.3599794867950643,19.367851732423922,0.5531937894813865,0.5717890388728804,0.35212147492134954,0.3311407122964161,0.3744846282538356,0.433747643475799,True,True,False,True,False,
ep05_r7_art05_frac95,closed_loop,7.0,1,1,0.05,0.5,0.95,,,,,,,,2.3630916412175718,19.393077679386238,0.5532828739785715,0.5717890388728804,0.3514016938897539,0.3311407122964161,0.37398356021142276,0.433747643475799,True,True,False,True,False,
ep02_r7_art05_frac70,closed_loop,7.0,1,1,0.02,0.5,0.7,,,,,,,,2.337215802208306,19.18066567896776,0.5504763168245075,0.5717890388728804,0.3559943801510348,0.3311407122964161,0.3644312634520639,0.433747643475799,True,True,False,True,False,
ep02_r7_art05_frac75,closed_loop,7.0,1,1,0.02,0.5,0.75,,,,,,,,2.3406368515239797,19.208164617741858,0.5506675929624671,0.5717890388728804,0.3550676974723203,0.3311407122964161,0.3635990041579158,0.433747643475799,True,True,False,True,False,
ep02_r7_art05_frac80,closed_loop,7.0,1,1,0.02,0.5,0.8,,,,,,,,2.343991975360025,19.235117249432374,0.5508361554813812,0.5717890388728804,0.35427263867724806,0.3311407122964161,0.36289152209665304,0.433747643475799,True,True,False,True,False,
ep02_r7_art05_frac85,closed_loop,7.0,1,1,0.02,0.5,0.85,,,,,,,,2.3472417605733855,19.26122829467471,0.5509812266361779,0.5717890388728804,0.3535640708410639,0.3311407122964161,0.3622644393163697,0.433747643475799,True,True,False,True,False,
ep02_r7_art05_frac95,closed_loop,7.0,1.0,1,0.02,0.5,0.95,,,,,,,,2.3533235077157393,19.31022979909442,0.5511943537094782,0.5717890388728804,0.35211637149013697,0.3311407122964161,0.3609599503508382,0.433747643475799,True,True,False,True,False,best_defensible_partial
ep02_r7_L0p05_art05_frac85,closed_loop_followup,6.999999999999999,0.05,1,0.02,0.5,0.85,,,,,,,,2.344084149836201,19.23937083788145,0.54471925531162,0.5717890388728804,0.353905994071133,0.3311407122964161,0.3616305589360597,0.433747643475799,True,True,False,True,False,
ep02_r7_L0p1_art05_frac85,closed_loop_followup,6.999999999999999,0.1,1,0.02,0.5,0.85,,,,,,,,2.3443123565181017,19.241155542672605,0.545263015700136,0.5717890388728804,0.35388608432989443,0.3311407122964161,0.36174401470171896,0.433747643475799,True,True,False,True,False,
ep02_r7_L0p25_art05_frac85,closed_loop_followup,6.999999999999999,0.25,1,0.02,0.5,0.85,,,,,,,,2.344840904805278,19.24534793966062,0.5466089024273266,0.5717890388728804,0.35383467300166643,0.3311407122964161,0.36202240152956516,0.433747643475799,True,True,False,True,False,
ep02_r7_L0p05_art05_frac45,closed_loop_followup,6.999999999999999,0.05,1,0.02,0.5,0.44999999999999996,,,,,,,,2.316620577102468,19.017379841557304,0.5434552959190998,0.5717890388728804,0.3656531400305433,0.3311407122964161,0.37274017277380067,0.433747643475799,True,True,False,True,False,
ep02_r4p5_L0p05_art05_frac85,closed_loop_followup,4.5,0.05,1,0.02,0.5,0.85,,,,,,,,2.348294470089833,19.22432867965687,0.5456447611507832,0.5717890388728804,0.35410075336440194,0.3311407122964161,0.361885479842357,0.433747643475799,True,True,False,True,False,
