canonical_name,model,candidate_signal,anatomical_location,mean_flow_ml_s,amplitude_ml_s,normalized_rmse,sign_flipped_normalized_rmse,best_phase_shift_normalized_rmse,best_phase_shift_fraction,sign_checked,phase_dominated
ascending_aorta_flow,quasi,valve_arterial.flux,aortic-valve outlet/root inflow,41.20171821741022,241.53359858425625,0.560170267939655,0.5617955801550998,0.11487879299985027,0.31683168316831684,True,True
ascending_aorta_flow,quasi,quasi_aao_arch_rl_01.flux,AAo/arch chain inlet,41.28367942898472,273.166682791509,0.5784540104552748,0.5536771993536601,0.1519110868482163,0.297029702970297,False,True
ascending_aorta_flow,quasi,quasi_aao_arch_rl_04.flux,AAo/arch chain outlet before arch branches,41.28706600862384,273.10247458044006,0.5798395404163456,0.5535711762839569,0.15469332498969343,0.297029702970297,False,True
ascending_aorta_flow,full_0d,valve_arterial.flux,aortic-valve outlet/root inflow,41.91487361003064,290.7568380484228,0.5717890388728804,0.5748364136373373,0.14403556433107303,0.33663366336633666,True,True
ascending_aorta_flow,full_0d,aao_arch.flow,full 0-D AAo-to-arch resistor flow,41.91638733144587,182.89913467577952,0.4994873664240247,0.551122218029225,0.10299536946707764,0.31683168316831684,True,True
descending_aorta_flow,quasi,quasi_dao_rl_01.flux,DAo chain inlet after arch branches,21.19283240827088,221.44768729522372,0.956793232675751,0.7200946547294167,0.5017326373325852,0.3069306930693069,False,True
descending_aorta_flow,quasi,quasi_dao_rl_06.flux,DAo chain outlet at DAo pressure node,21.19045794018541,219.77609536819267,0.9520066206784051,0.7189080107885072,0.49985941265513656,0.3069306930693069,False,True
descending_aorta_flow,quasi,lower_ra4.flow,flow from DAo pressure node into lower systemic artery,20.936642495184103,36.85060340658269,0.38068608962029776,0.5715801215794818,0.2405275534810965,0.18811881188118812,True,True
descending_aorta_flow,full_0d,arch_dao.flow,full 0-D arch-to-DAo resistor flow,21.66318428568799,40.91204945787846,0.433747643475799,0.5580304847959989,0.19268196323343006,0.32673267326732675,True,True
descending_aorta_flow,full_0d,lower_ra4.flow,full 0-D flow from DAo into lower systemic artery,21.621496558271154,12.564482161237182,0.3311407122964161,0.5850382377679664,0.30959844286666255,0.16831683168316833,True,False
